timestamp,pod_name,namespace,status,restart_count,cpu_usage,memory_usage,logs
2025-02-22 19:42:19.287784,pod-18,kube-system,Running,10,1.8657126979165795,399,Error: Process exited with code 1
2025-02-22 20:07:19.287784,pod-7,kube-system,Running,9,0.6462848092481424,213,Error: Process exited with code 1
2025-02-22 20:13:19.287784,pod-4,kube-system,Running,1,0.28746046585005586,437,Error: Process exited with code 1
2025-02-22 20:44:19.287784,pod-18,monitoring,Running,6,0.6054041574542718,357,Error: Process exited with code 1
2025-02-22 21:46:19.287784,pod-12,monitoring,CrashLoopBackOff,5,0.19570759031020168,97,Normal operation
2025-02-22 23:21:19.287784,pod-9,kube-system,Running,0,1.031506010653689,252,Error: Process exited with code 1
2025-02-22 23:34:19.287784,pod-2,default,Failed,2,1.6303602648288755,228,Normal operation
2025-02-22 23:48:19.287784,pod-14,monitoring,CrashLoopBackOff,6,0.38826414934441644,412,Normal operation
2025-02-23 00:12:19.287784,pod-15,monitoring,CrashLoopBackOff,7,1.0471309535398388,494,Error: Process exited with code 1
2025-02-23 00:20:19.287784,pod-13,monitoring,Failed,9,1.6776814233374393,135,Normal operation
2025-02-23 02:15:19.287784,pod-11,monitoring,CrashLoopBackOff,4,2.4722184097277067,143,Normal operation
2025-02-23 02:22:19.287784,pod-4,kube-system,Running,4,0.33086972911582235,265,Normal operation
2025-02-23 03:50:19.287784,pod-15,default,Running,1,1.7190929326144293,334,Normal operation
2025-02-23 04:10:19.287784,pod-16,monitoring,Running,3,2.1066266685757786,65,Error: Process exited with code 1
2025-02-23 04:24:19.287784,pod-13,monitoring,Running,5,0.5714644994980018,351,Normal operation
2025-02-23 04:45:19.287784,pod-7,kube-system,Running,4,1.5771394155131169,462,Error: Process exited with code 1
2025-02-23 05:46:19.287784,pod-9,monitoring,Running,3,1.9328811610535772,371,Normal operation
2025-02-23 06:11:19.287784,pod-16,kube-system,Running,10,2.4683619887934016,107,Error: Process exited with code 1
2025-02-23 07:53:19.287784,pod-7,kube-system,Running,6,1.3781292177212476,237,Error: Process exited with code 1
2025-02-23 09:31:19.287784,pod-5,default,Failed,1,1.2343085398731182,256,Normal operation
2025-02-23 11:31:19.287784,pod-1,default,Running,10,0.6461677658968118,89,Error: Process exited with code 1
2025-02-23 11:38:19.287784,pod-19,kube-system,CrashLoopBackOff,0,0.7560109634864602,281,Error: Process exited with code 1
